id,name
109,"U.S. Special Operations Command - USSOCOM, United States of America"
110,"SOUTHCOM - US Southern Command, United States of America"
111,"US Strategic Command - USSTRATCOM, United States of America"
112,"USTRANSCOM, United States of America"
113,"Defense Technical Information Center, United States of America"
114,"Legal Department, Somerville, MA"
115,"Department of Justice, Criminal Division, United States of America"
116,"Food and Drug Administration, United States of America"
117,"Census Bureau, Boston Regional Office, United States of America"
118,"Massachusetts Bay Transportation Authority (MBTA), Massachusetts"
119,"U.S. Department of Veterans Affairs, United States of America"
120,"Small Business Administration, United States of America"
121,"National Oceanic and Atmospheric Administration, United States of America"
122,"Boston Public Schools, Boston, MA"
123,"State Racing Commission, Massachusetts"
124,"Department of Public Works, Worcester, MA"
125,"Administration and Finance, Worcester, MA"
126,"Boston Redevelopment Authority, Boston, MA"
127,"Boston Housing Authority, Boston, MA"
129,"National Archives and Records Administration, United States of America"
131,"Parole Board, Massachusetts"
132,"NYC Department of Consumer Affairs, New York City, NY"
133,"Immigration and Customs Enforcement, United States of America"
134,"Newton Public Schools, Newton, MA"
135,"Mayor's Office, Newton, MA"
137,"Drug Enforcement Administration, United States of America"
138,"Executive Office of Health and Human Services, Massachusetts"
139,"Human Resources Division, Massachusetts"
141,"Office of the Comptroller, Massachusetts"
142,"Department of Education, Boston Office, United States of America"
143,"Department of Education, Office of Civil Rights, United States of America"
144,"Barnstable County Sheriff's Office, Barnstable County, MA"
146,"Executive Office for Administration and Finance, Massachusetts"
147,"Town Manager, Saugus, MA"
149,"Somerville City Clerk, Somerville, MA"
152,"Centers for Disease Control and Prevention, United States of America"
153,"Cambridge Housing Authority, Cambridge, MA"
154,"Commonwealth Health Insurance Connector Authority, Massachusetts"
155,"Division of Insurance, Massachusetts"
156,"Office of Medicaid, Massachusetts"
159,"Office of Medicaid, Massachusetts"
160,"Massachusetts Technology Collaborative, Massachusetts"
161,"Executive Office of Housing and Economic Development, Massachusetts"
162,"Department of Transportation, Massachusetts"
163,"MassDevelopment, Massachusetts"
164,"MassDevelopment, Massachusetts"
166,"Department of Justice, Disability Rights Division, United States of America"
168,"Department of Justice, United States of America"
169,"Office of Temporary and Disability Assistance, New York"
170,"National Air and Space Intelligence Center, United States of America"
171,"Massachusetts Clean Energy Center, Massachusetts"
173,"Office of Strategic Planning and Community Development, Somerville, MA"
174,"Boston Police Department, Boston, MA"
175,"Department of Revenue, Massachusetts"
176,"Property & Construction Management, Boston, MA"
177,"Department of Transportation, New York"
178,"NYS Department of Civil Service, New York"
179,"Somerville Housing Authority, Somerville, MA"
181,"Office of the State Comptroller, New York"
182,"U.S. Citizenship and Immigration Services, United States of America"
184,"Special Inspector General for Afghanistan Reconstruction, United States of America"
185,"Cambridge Law Department, Cambridge, MA"
186,"Cambridge City Clerk, Cambridge, MA"
187,"Office of National Drug Control Policy, United States of America"
188,"National Cancer Institute, United States of America"
189,"Army, Office of the Chief of Chaplains, United States of America"
190,"Mayor's Office of Media and Entertainment, New York City, NY"
191,"Elections Division (Secretary of State), Massachusetts"
192,"University of Massachusetts, Massachusetts"
193,"University of Massachusetts (Amherst), Massachusetts"
194,"Office of the Governor - New York, New York"
195,"Massachusetts Emergency Management Agency, Massachusetts"
196,"University of Massachusetts School of Law, Massachusetts"
197,"National Labor Relations Board, United States of America"
198,"Broadcasting Board of Governors, United States of America"
199,"Press Office, Boston, MA"
201,"Department of Justice, Office of Professional Responsibility, United States of America"
202,"Social Security Administration, United States of America"
203,"Office of the Attorney General - New York, New York"
204,"Air Force, 25th Air Force, United States of America"
205,"Bureau of Reclamation, Lower Colorado Region, United States of America"
206,"Federal Energy Regulatory Commission, United States of America"
207,"Mayor's Office, Communications, Somerville, MA"
208,"Washington State Criminal Justice Training Commission, Washington"
209,"National Personnel Records Center, United States of America"
210,"Cambridge Police Department, Cambridge, MA"
211,"Washington State Patrol, Washington"
212,"Office of the Governor - Washington, Washington"
213,"Department of Defense, Biometrics Identity Management Agency, United States of America"
214,"Boston Licensing Board, Boston, MA"
215,"Coast Guard, United States of America"
216,"Office of the Parking Clerk, Boston, MA"
217,"U.S. Army, Dugway Proving Ground, United States of America"
219,"City Council, Seattle, WA"
220,"Department of Planning and Development, Seattle, WA"
221,"Federal Housing Finance Agency, United States of America"
222,"Somerville Historic Preservation Commission, Somerville, MA"
223,"Federal Retirement Thrift Investment Board, United States of America"
224,"National Aeronautics and Space Administration, United States of America"
225,"Bureau of Alcohol, Tobacco, Firearms and Explosives, United States of America"
226,"US Army Test and Evaluation Command, United States of America"
227,"Seattle Police Department, Seattle, WA"
228,"Department of Health, Washington"
230,"The Massachusetts Historical Commission, Massachusetts"
231,"Department of Youth Services, Massachusetts"
232,"Department of Natural Resources, Washington"
233,"Parks and Recreation Commission, Washington"
234,"White House, United States of America"
235,"Smithsonian Institution Office of General Counsel, United States of America"
236,"Department of Homeland Security Office of Inspector General, United States of America"
237,"Internal Revenue Service, United States of America"
238,"Federal Law Enforcement Training Center, United States of America"
239,"Department of Health and Human Services, Centers for Medicare & Medicaid Services, United States of America"
240,"Securities and Exchange Commission, United States of America"
241,"Office of the Mayor, Seattle, WA"
242,"U.S. Patent and Trademark Office, United States of America"
245,"Office of Strategic Planning and Community Development Annex, Somerville, MA"
246,"Department of Transportation, Seattle, WA"
247,"Department of Parks and Recreation, Seattle, WA"
248,"Test Agency, United States of America"
249,"Inspectional Services Division, Building Permits, Somerville, MA"
251,"Mayor's Office of Contract Services, New York City, NY"
253,"Health and  Human Services Department, Newton, MA"
254,"Saugus Public Library, Saugus, MA"
255,"Health Department, Wellesley, MA"
257,"Massachusetts Department of Criminal Justice Information Services, Massachusetts"
258,"Wellesley School Department, Wellesley, MA"
259,"Health Department, Wellesley, MA"
260,"Council of the Inspectors General on Integrity and Efficiency, United States of America"
261,"Railroad Retirement Board, United States of America"
263,"City Clerk, Bullhead City, AZ"
265,"Los Angeles Police Department, Los Angeles, CA"
267,"Division of Health Care Finance and Policy, Massachusetts"
268,"Library of Congress, United States of America"
269,"U.S. Census Bureau, United States of America"
270,"Mayor's Office, Washington (D.C), DC"
271,"Defense Advanced Research Projects Agency â€” DARPA, United States of America"
272,"New York City Police Department, New York City, NY"
273,"NYC Department of Transportation, New York City, NY"
274,"Massachusetts State Police, Massachusetts"
275,"Board of Appeals, Boston, MA"
276,"Metropolitan Transportation Authority (MTA), Headquarters, New York"
277,"City Clerk, Phoenix, AZ"
278,"Office of the Governor - Arizona, Arizona"
279,"University of Arizona, Arizona"
280,"Navy Office of Information - West, United States of America"
281,"Arizona State University, Arizona"
282,"City of Benson, Benson, AZ"
283,"Kentucky National Guard, United States of America"
284,"Federal Emergency Management Agency, United States of America"
285,"Town Manager, Cohasset, MA"
287,"Office of Government Information Services, United States of America"
288,"USDA Farm Services Agency, United States of America"
289,"Department of Public Health, King County, WA"
290,"Judicial Branch, Connecticut"
291,"Parking Administration, San Diego, CA"
292,"Police Department, Oakland, CA"
293,"Office of the Governor - California, California"
294,"Mayor's Office, Los Angeles, CA"
295,"Department of Justice, California"
297,"Mayor's Office, Hartford, CT"
298,"Mayor's Office, New Haven, CT"
299,"Mayor's Office, Bridgeport, CT"
300,"Mayor's Office, Danbury, CT"
301,"Mayor's Office, New London, CT"
303,"Mayor's Office, Miami, FL"
304,"City Manager's Office, Fort Lauderdale, FL"
305,"New Hampshire State Police, New Hampshire"
306,"United States Army Recruiting Command, United States of America"
307,"Framingham Police Department, Framingham, MA"
308,"Office of the City Manager, Worcester, MA"
309,"Boston Animal Control, Boston, MA"
310,"Department of Correction, Massachusetts"
312,"Department of Education, Arizona"
313,"Department of Motor Vehicles, Washington (D.C), DC"
314,"Public Works, Providence, RI"
315,"Criminal Records, New York"
316,"New York State Office of Court Administration, New York"
317,"Providence Police Department, Providence, RI"
318,"Rhode Island State Police, Rhode Island"
321,"United States Military Academy, United States of America"
323,"Health Department, Somerville, MA"
324,"Secretary of State, Arizona"
325,"Santa Barbara City Attorney,  Santa Barbara, CA"
326,"City Administrator,  Santa Barbara, CA"
327,"Consumer Products Safety Commission, United States of America"
328,"INTERPOL Washington (U.S. National Central Bureau), United States of America"
330,"Supervisor of Records, Massachusetts"
331,"Department of Public Safety, Architectural Access Board, Massachusetts"
332,"Office of Consumer Affairs and Business Regulation	Massachusetts, Consumer Assistance Unit, Massachusetts"
333,"Arlington Police Department, Arlington, TX"
334,"Department of Forestry & Fire Protection (CAL FIRE), California"
335,"Herington City Manager, Herington, KS"
336,"Police Department, Houston, TX"
338,"Police Department, North Little Rock, AR"
339,"Ypsilanti Police Department, Ypsilanti, MI"
342,"Sheriff Department, Santa Clarita, CA"
343,"Ventura County Sheriff's Department, Ventura County, CA"
344,"Wichita Police Department, Wichita, KS"
345,"Ventura Police Department, Ventura County, CA"
346,"Manchester Center Police Department, Manchester Center, VT"
347,"Oxnard Police Department, Oxnard, CA"
349,"University of Central Florida Police Department, Orlando, FL"
350,"Los Angeles County Sheriff's Department, Los Angeles County, CA"
351,"Maine Air National Guard Base, Maine"
353,"Lewis County Sheriff's Department, Lewis County, WA"
354,"New York State Police, New York"
356,"Arvada Police Department, Arvada, CO"
357,"Pittsburgh Bureau of Police, Pittsburgh, PA"
358,"Carnegie Police Department, Carnegie, PA"
359,"South Fayette Township Police Department, South Fayette Township, PA"
360,"Bridgeville Police Department, Bridgeville, PA"
361,"Virginia Beach Police Department, Virginia Beach, VA"
362,"Heidelberg Police Department, Heidelberg, PA"
363,"Flagler County Sheriff's Office, Flagler County, FL"
364,"Fairfax County Police Department, Fairfax County, VA"
365,"Austin Police Department, Austin, TX"
366,"Tucson Police Department, Tucson, AZ"
367,"San Francisco Police Department, San Francisco, CA"
368,"San Diego Police Department, San Diego County, CA"
369,"Oakland Police Department, Oakland, CA"
370,"Doylestown Township Police Department, Doylestown, PA"
371,"Santa Monica Police Department, Santa Monica, CA"
372,"Virginia State Police, Virginia"
373,"Olympia Police Department, Olympia, WA"
374,"Stafford County Sheriff's Office, Stafford, VA"
375,"Denver Police Department, Denver, CO"
376,"Virginia Commonwealth University, Virginia"
377,"City Council, New York City, NY"
379,"Parks and Recreation Department,  Santa Barbara, CA"
380,"Jefferson Police Department, Jefferson, WI"
381,"Ashland Police Department, Ashland, KY"
382,"Washington Court House Police Department, Washington Court House, OH"
383,"University of Texas, Austin, Texas"
384,"Richmond Police Department, Richmond, VA"
385,"Metropolitan Police Department, Washington (D.C), DC"
386,"Miami Police Department, Miami, FL"
387,"Miami-Dade County Police, Miami-Dade County, FL"
388,"Houston Police Department, Public Affairs, Houston, TX"
389,"California Highway Patrol, California"
391,"Charlotte-Mecklenburg Police Department, Charlotte, NC"
392,"Howard County Police Department, Ellicott City, MD"
393,"Metropolitan Nashville Police Department, Nashville, TN"
394,"Minnesota State Patrol, Saint Paul, MN"
395,"Helena Police Department, Helena, MT"
396,"Portland Police Bureau, Portland, OR"
397,"Calhoun County Sheriff's Department, Anniston, AL"
398,"Indiana State Police, Indiana"
399,"Department of Energy, Idaho National Laboratory, United States of America"
401,"Department of Energy, National Energy Technology Laboratory, United States of America"
402,"Federal Financial Institutions Examinations Council, United States of America"
404,"Palo Alto Police Department, Palo Alto, CA"
405,"Portland Police Department, Portland, ME"
406,"Boulder Police Department, Boulder, CO"
407,"Salem Police Department, Salem, OR"
408,"Bay Area Urban Area Security Initiative, San Francisco, CA"
409,"Alameda County Sheriff Department, Alameda County, CA"
410,"Registry of Motor Vehicles, Massachusetts"
411,"Commission on Gay, Lesbian, Bisexual & Transgender Youth, Massachusetts"
412,"Department of Children and Families, Massachusetts"
413,"Purdue University, West Lafayette, IN"
414,"Parking Department, Salem, MA"
415,"University of California, San Diego, San Diego, CA"
416,"Saddleback Community College, Mission Viejo, CA"
417,"McAllen Police Department, McAllen, TX"
418,"Syracuse Police Department, Syracuse, NY"
419,"Monroe County Sheriff, Monroe County, FL"
420,"Brevard County Sheriff, Brevard County, FL"
421,"Pima County Sheriff, Pima County, AZ"
422,"Illinois Central College, Peoria, IL"
423,"Illinois State Police, Illinois"
424,"Peoria Police Department, Peoria, IL"
425,"Peoria County Sheriff, Peoria County, IL"
426,"University of Pittsburgh, Pennsylvania"
427,"Pennsylvania State University, Pennsylvania"
428,"Maricopa County Sheriff, Maricopa County, AZ"
429,"Anaheim Police Department, Anaheim, CA"
430,"Anaheim Police Department, Anaheim, CA"
431,"US Army, Office of the Judge Advocate General, United States of America"
432,"Department of Public Safety, Massachusetts"
433,"Office of the Governor - Massachusetts, Massachusetts"
435,"Pennsylvania State Police, Pennsylvania"
436,"The Ohio State University, Ohio"
437,"Goleta, CA Police Department, Goleta, CA"
438,"Keller, TX Police Department, Keller, TX"
439,"Dallas, TX Police Department, Dallas, TX"
440,"Glendora, CA Police Department, Glendora, CA"
441,"Phoenix Police Department, Phoenix, AZ"
442,"Kettering, OH Police Department, Kettering, OH"
443,"Inspector General, Massachusetts"
445,"Snoqualmie Police Department, Snoqualmie, WA"
446,"Lake County Sheriff's Office, Lake County, FL"
447,"Orlando Police Department, Orlando, FL"
448,"Seminole County Sheriff, Seminole County, FL"
449,"Rhode Island Department of Public Safety, Rhode Island"
450,"Okaloosa County Sheriffs Office, Okaloosa County, FL"
451,"University of Florida, Florida"
452,"Commonwealth Fusion Center, Massachusetts"
453,"Executive Office of Public Safety and Security, Massachusetts"
454,"Office of the Pardon Attorney, United States of America"
455,"Alabama Department of Public Safety, Alabama"
456,"Department of Homeland Security, Science and Technology Directorate, United States of America"
457,"U.S. Forest Service, United States of America"
458,"Department of Agriculture, Agricultural Research Service, United States of America"
459,"Department of the Interior, Office of the Secretary, United States of America"
460,"Queen Anne's County Sheriff, Maryland"
461,"Eastern Gateway Community College, Jefferson County, OH"
463,"Gadsden, AL Police Department, Gadsden, AL"
464,"Hays County, TX Office of Emergency Management, Hays County, TX"
465,"Kansas State University, Kansas"
466,"Mesa County, CO Sheriff, Mesa County, CO"
467,"Montgomery County, TX Sheriff, Montgomery County, TX, TX"
468,"Department of Transportation, Washington"
469,"University of Wisconsin, Wisconsin"
470,"Ohio University, Ohio"
471,"University of Connecticut, Connecticut"
472,"University of Colorado Boulder, Colorado"
473,"Otter Tail County Sheriff, Otter Tail County, MN"
474,"Polk County Sheriff, Polk County, FL"
475,"Texas State University, Texas"
476,"Texas A & M Engineering Experiment Station, Texas"
477,"Texas A & M University-Corpus Christi, Texas"
478,"University of Michigan, Michigan"
479,"Amtrak, United States of America"
480,"Massachusetts Port Authority, Massachusetts"
481,"Boston City Council, Boston, MA"
482,"Lane County Sheriff's Office, Lane County, OR"
483,"Vanderblit University, Nashville, TN"
484,"Florida International University, Miami, FL"
485,"University of Akron, Akron, OH"
486,"University at Buffalo, Buffalo, NY"
487,"University of California, Santa Cruz, California"
488,"University of Central Florida, Orlando, FL"
489,"University of Colorado School of Aerospace Engineering Sciences, Boulder, CO"
491,"University of Louisville, Louisville, KY"
493,"University of Maryland Department of Aerospace Engineering, Maryland"
494,"University of Minnesota, Minnesota"
497,"University of South Florida, Florida"
498,"Department of Treasury, Office of Foreign Asset Control, United States of America"
499,"Lancaster City Clerk, Lancaster, CA"
500,"Golden Gate Bridge, Highway and Transportation District, California"
501,"Energy Facilities Siting Board, Massachusetts"
502,"U.S. Army Criminal Investigation Command, United States of America"
503,"Chicago Police Department, Chicago, IL"
504,"Philadelphia Police Department, Philadelphia, PA"
506,"Virginia Polytechnic Institute and State University, Virginia"
507,"Middlesex County District Attorney's Office, Middlesex County, MA"
508,"Attorney General's Office, Massachusetts"
509,"Bureau of Indian Affairs, United States of America"
511,"Bristol County Sheriff's Office, Bristol County, MA"
512,"Town Administration, Nantucket, MA"
513,"Board of Commissioners, Plymouth County, MA"
514,"Office of the Sheriff, Dukes County, MA"
515,"Norfolk County Sheriff's Office, Norfolk County, MA"
516,"National Center for Complex Operations, Indiana"
517,"Indiana Air National Guard, Indiana"
518,"Naval Sea Systems Command, United States of America"
520,"City Hall, Beverly, MA"
521,"Marlborough Public Schools, Marlborough, MA"
522,"Palmer Town Manager's Office, Palmer, MA"
523,"Taunton Public Schools, Taunton, MA"
524,"Department of Agriculture Office of Inspector General, United States of America"
525,"Washington Island Police Department, Washington Island, WI"
526,"Upper Darby Police Department, Upper Darby, PA"
527,"Petaluma Police Department, Petaluma, CA"
528,"Fremont Police Department, Fremont, CA"
529,"State College Area Police Department, State College, PA"
530,"Louisville Metro Police, Louisville, KY"
531,"Division of Homeland Security and Emergency Services, New York"
532,"New Mexico Institute of Mining and Technology, New Mexico"
533,"New Mexico State University Physical Sciences Lab, New Mexico"
534,"Canyon County Sheriff's Office, Canyon County, ID"
535,"New Jersey Army National Guard, New Jersey"
536,"Brunswick Police Department, Brunswick, GA"
537,"North Andover Police Department, North Andover, MA"
538,"Escambia County Sheriff's Office, Escambia County, FL"
539,"Gilbert Police Department, Gilbert, AZ"
540,"Department of Public Safety, Arizona"
541,"Lake Villa Police Department, Lake Villa, IL"
542,"Clackamas County Sheriff's Office, Clackamas County, OR"
543,"Hurst Police Department, Hurst, TX"
544,"Department of Mental Health, Oklahoma"
545,"University of North Dakota, North Dakota"
546,"Georgia Institute of Technology Police Department, Office of Emergency Preparedness, Georgia"
547,"Georgia Tech Research Institute, Georgia"
548,"Middle Tennessee State University, Tennessee"
549,"Mississippi State University, Mississippi"
550,"Mississippi Department of Marine Resources, Mississippi"
551,"Nicholls State University, Louisiana"
552,"Ogden City Police Department, Ogden, UT"
553,"Orange County Sheriff's Office, Orange County, TX, TX"
554,"University of Alaska Fairbanks, Alaska"
555,"Utah State University, Utah"
556,"Snohomish County Sheriff's Office, Snohomish County, WA"
557,"California Department of Corrections and Rehabilitation, Office of Audits and Court Compliance, California"
558,"San Francisco Controller's Office, San Francisco, CA"
559,"Board of Election Commissioners, Boston, MA"
560,"Federal Reserve Board of Governors, United States of America"
561,"Spokane County Sheriff's Office, Spokane County, WA"
562,"Department of Public Utilities, Massachusetts"
564,"Virginia State Corporation Commission, Virginia"
565,"Washington Metropolitan Area Transit Authority, Washington (D.C), DC"
567,"Department of Correction, New York City, NY"
568,"Abington Police Department, Abington, MA"
569,"Amherst Police Department, Amherst, MA"
570,"Barnstable Police Department, Barnstable, MA"
571,"Braintree Police Department, Braintree, MA"
572,"Burlington Police Department, Burlington, MA"
573,"Chelmsford Police Department, Chelmsford, MA"
574,"Quincy Police Department, Quincy, MA"
575,"University of Central Florida, Institute for Simulation and Training, Florida"
576,"Auburn University Athletic Department, Alabama"
577,"Concord Police Department, Concord, MA"
578,"Danvers Police Department, Danvers, MA"
579,"Fall River Police Department, Fall River, MA"
580,"Fitchburg Police Department, Fitchburg, MA"
581,"Foxborough Police Department, Foxborough, MA"
582,"Administration and Finance, Boston, MA"
583,"Franklin Police Department, Franklin, MA"
584,"Gloucester Police Department, Gloucester, MA"
585,"Haverhill Police Department, Haverhill, MA"
586,"Hingham Police Department, Hingham, MA"
587,"Hull Police Department, Hull, MA"
588,"Leicester Police Department, Leicester, MA"
589,"Longmeadow Police Department, Longmeadow, MA"
590,"Lowell Police Department, Lowell, MA"
591,"Lynn Police Department, Lynn, MA"
592,"Malden Police Department, Malden, MA"
593,"Mansfield Police Department, Mansfield, MA"
594,"Marlborough Police Department, Marlborough, MA"
595,"Middleton Police Department, Middleton, MA"
596,"Milford Police Department, Milford, MA"
597,"Natick Police Department, Natick, MA"
598,"Newton Police Department, Newton, MA"
599,"Peabody Police Department, Peabody, MA"
600,"Pittsfield Police Department, Pittsfield, MA"
601,"Plymouth Police Department, Plymouth, MA"
602,"Randolph Police Department, Randolph, MA"
603,"Reading Police Department, Reading, MA"
604,"Revere Police Department, Revere, MA"
605,"Shrewsbury Police Department, Shrewsbury, MA"
606,"Springfield Police Department, Springfield, MA"
607,"U.S. Mint, United States of America"
608,"Taunton Police Department, Taunton, MA"
609,"Tewksbury Police Department, Tewksbury, MA"
610,"Watertown Police Department, Watertown, MA"
611,"Worcester Police Department, Worcester, MA"
612,"Ann Arbor Police Department, Ann Arbor, MI"
613,"Eastland County Sheriff's Office, Eastland County, TX"
616,"Erie County Sheriff's Office, Erie County, NY"
617,"Eden Police Department, Eden, NY"
618,"Monroe County Sheriff, Monroe County, NY"
619,"Long Beach Police Department, Long Beach, CA"
620,"Concord Police Department, Concord, CA"
621,"Texas Department of Public Safety, Texas"
622,"Lexington Division of Police, Lexington, KY"
623,"Chandler Police Department, Chandler, AZ"
624,"Berkeley Police Department, Berkeley, CA"
625,"University of California, Berkeley Police Department, California"
626,"Novato Police Department, Novato, CA"
627,"Suffolk County Police Department, Suffolk County, NY"
628,"Bethel Park Police Department, Bethel Park, PA"
629,"Allegheny County Police Department, Allegheny County, PA"
630,"Allegheny County Sheriff's Office, Allegheny County, PA"
631,"Sacramento Police Department, Sacramento, CA"
632,"East Lansing Police Department, East Lansing, MI"
633,"Michigan State Police, Michigan"
634,"Lacey Police Department, Lacey, WA"
635,"Lansing Police Department, Lansing, MI"
636,"San Diego Police Department, San Diego, CA"
637,"Texas State Technical College, Texas"
638,"Canby Police Department, Canby, OR"
639,"Oconee County Sheriff's Office, Oconee County, SC"
640,"Utah Highway Patrol, Utah"
641,"Gwinnett County Police Department, Gwinnett County , GA"
642,"Los Angeles City Attorney's Office, Los Angeles, CA"
643,"Department of Corrections, Arizona"
644,"Detroit Police Department, Detroit, MI"
646,"Baltimore Police Department, Baltimore, MD"
647,"Nassau County Police Department, Nassau County, NY"
648,"Las Vegas Metropolitan Police Department, Las Vegas, NV"
649,"East Carolina University, North Carolina"
650,"Dover Police Department, Dover, MA"
651,"Metropolitan Law Enforcement Council (MetroLEC), Massachusetts"
652,"Memphis Police Department, Memphis, TN"
653,"Milwaukee Police Department, Milwaukee, WI"
654,"Honolulu Police Department, Honolulu, HI"
655,"Baltimore County Police Department, Baltimore County, MD"
656,"Columbus Division of Police, Columbus, OH"
657,"San Antonio Police Department, San Antonio, TX"
658,"Atlanta Police Department, Atlanta, GA"
659,"Jacksonville Sheriff's Office, Jacksonville, FL"
660,"Indianapolis Police Department, Indianapolis, IN"
661,"Cleveland Police Department, Cleveland, OH"
662,"Prince George's County Police Department, Prince George's County, MD"
663,"New Orleans Police Department, New Orleans, LA"
664,"Fort Worth Police Department, Fort Worth, TX"
665,"Kansas City Police Department, Kansas City, MO"
666,"Ashland Police Department, Ashland, MA"
667,"Chelsea Police Department, Chelsea, MA"
668,"Essex County Sheriff, Essex County, MA"
669,"Newark Police Department, Newark, NJ"
670,"San Jose Police Department, San Jose, CA"
671,"St. Louis Metropolitan Police Department, St. Louis, MO"
672,"Montgomery County Police Department, Montgomery County, MD"
673,"El Paso Police Department, El Paso, TX"
674,"Cincinnati Police Department, Cincinnati, OH"
675,"Oklahoma City Police Department, Oklahoma City, OK"
676,"Tampa Police Department, Tampa, FL"
677,"Albuquerque Police Department, Albuquerque, NM"
678,"Department of Corrections, North Carolina"
679,"Orange County Sheriff's Office, Orange County, FL, FL"
680,"Plymouth County Sheriff's Department, Plymouth County, MA"
681,"North Carolina State Bureau of Investigation, North Carolina"
682,"Beverly Public Schools, Beverly, MA"
683,"Wake County Sheriff's Department, Wake County, NC"
684,"Brockton Police Department, Brockton, MA"
685,"Lawrence Police Department, Lawrence, MA"
686,"Medford Police Department, Medford, MA"
687,"Norwood Police Department, Norwood, MA"
688,"Salem Police Department, Salem, MA"
689,"Southbridge Police Department, Southbridge, MA"
690,"Wakefield Police Department, Wakefield, MA"
691,"West Springfield Police Department, West Springfield, MA"
692,"Brookline Police Department, Brookline, MA"
693,"Gaston County Police Department, Gaston County, NC"
694,"La Plata Police Department, La Plata , MD"
696,"Federal Election Commission, United States of America"
697,"Winnebago County Sheriff's Department, Wisconsin"
698,"Independent School District, San Antonio, TX"
699,"Bastrop County Emergency Management, Bastrop County, TX"
700,"Worcester Public Schools, Worcester, MA"
701,"Salem Public Schools, Salem, MA"
